id_estado;estado;municipio;id_municipio;suma_votos_validos;suma_votos_nulos;suma_EG;suma_NM;suma_LM;suma_JABE;suma_JOBR;suma_AE;suma_CF;suma_DC;suma_EM;suma_BERA;total_otros_candidatos;porc_EG;porc_NM;porc_otros
05;Aragua;sucre;0513;52257;9;35909;15043;348;96;108;283;57;50;106;257;1305;68,71615286;28,78657405;2,497273093
05;Aragua;tovar;0514;11191;0;8369;2450;147;26;40;68;11;12;38;30;372;74,78330802;21,89259226;3,324099723
05;Aragua;urdaneta;0515;10386;0;6105;4051;104;7;19;37;9;3;33;18;230;58,78105142;39,00442904;2,214519546
05;Aragua;zamora;0516;58769;9;37228;19641;587;160;170;401;75;73;172;262;1900;63,34632204;33,42068097;3,232996988
05;Aragua;francisco linares;0517;58749;8;39196;17413;515;221;150;479;96;88;118;473;2140;66,71773137;29,63965344;3,642615193
05;Aragua;ocumare d l costa;0518;6695;0;3871;2624;80;11;13;34;4;9;22;27;200;57,81926811;39,19342793;2,987303958
06;Barinas;alberto arvelo t;0601;22048;8;13208;8461;172;22;36;44;18;14;56;17;379;59,90566038;38,37536284;1,718976778
06;Barinas;a jose de sucre;0602;34798;3;29061;5261;213;14;35;78;16;18;62;40;476;83,51342031;15,11868498;1,367894707
06;Barinas;arismendi;0603;5107;0;3111;1895;43;6;9;9;13;4;11;6;101;60,91638927;37,10593303;1,977677697
06;Barinas;barinas;0604;154388;15;118539;32954;1027;178;201;486;161;111;441;290;2895;76,77993108;21,34492318;1,875145737
06;Barinas;bolivar;0605;26013;0;18470;7078;176;7;33;89;28;16;65;51;465;71,00296006;27,20947219;1,787567755
06;Barinas;cruz paredes;0606;11900;1;8387;3354;77;4;13;25;8;6;16;10;159;70,4789916;28,18487395;1,336134454
06;Barinas;ezequiel zamora;0607;27867;0;22831;4686;151;16;38;50;13;14;53;15;350;81,92844583;16,81558833;1,255965838
06;Barinas;obispos;0608;18768;1;12375;5965;191;30;41;51;22;14;53;26;428;65,93670077;31,78282182;2,280477408
06;Barinas;pedraza;0609;31934;4;25381;6000;245;19;38;83;20;28;73;47;553;79,47955158;18,7887518;1,731696624
06;Barinas;rojas;0610;20231;1;12598;7271;137;25;20;36;47;13;59;25;362;62,27077258;35,93989422;1,789333202
06;Barinas;sosa;0611;12256;0;7933;4139;89;7;13;20;11;8;30;6;184;64,72748042;33,7712141;1,501305483
06;Barinas;andres e. blanco;0612;8513;2;6798;1604;51;5;4;14;5;3;22;7;111;79,85434042;18,84177141;1,303888171
07;Bolívar;cedeño;0702;20501;2;12027;8033;162;48;66;54;13;14;65;19;441;58,66543095;39,18345447;2,15111458
07;Bolívar;el callao;0703;13271;1;10098;2790;150;19;48;58;21;22;34;31;383;76,09072414;21,02328385;2,885992013
07;Bolívar;gran sabana;0704;3500;0;2535;853;37;7;15;17;4;3;15;14;112;72,42857143;24,37142857;3,2
07;Bolívar;blvno de angostu;0705;12527;1;9121;3037;178;22;38;41;14;10;53;13;369;72,81072883;24,24363375;2,945637423
07;Bolívar;piar;0706;53603;3;40485;11773;536;103;138;181;59;72;170;86;1345;75,52748913;21,96332295;2,509187919
07;Bolívar;angostura del or;0707;139263;22;101654;34130;1282;304;303;535;154;119;400;382;3479;72,99426265;24,50758637;2,498150981
07;Bolívar;roscio;0708;12078;0;8958;2823;111;25;30;42;20;11;41;17;297;74,16790859;23,37307501;2,459016393
07;Bolívar;sifontes;0709;12730;2;9341;2985;174;31;43;52;14;16;52;22;404;73,3778476;23,44854674;3,173605656
07;Bolívar;sucre;0710;9112;1;4288;4577;98;10;27;28;13;14;49;8;247;47,05882353;50,23046532;2,71071115
07;Bolívar;padre pedro chien;0711;8259;4;4797;3287;73;4;19;26;7;7;33;6;175;58,08209226;39,79900714;2,118900593
